Genes	Spore	Ger	Brch	Myc	Oidia	Scl	Knot	Pri	YFB
CC2G_011888	3.50623816588718	4.83285634232163	4.57364623783516	4.95741151888055	5.13943418613139	4.89933237269602	4.94147563060513	6.06287971263664	7.75310209993747
CC2G_011889	4.19545630015233	5.45997875101938	3.35113866015141	2.96561900434419	3.01710290925058	3.57861507704211	3.71917623993745	4.51505565653478	3.90952338669363
CC2G_011890	1.92705030625882	4.10445338308136	5.82660864875669	4.84290399956567	5.02074451171664	3.92208123890132	3.73486869904737	5.74654886692566	2.20527785235015
CC2G_011891	2.39436791142628	2.04596719351425	2.3522197435191	1.25116611439905	1.13177281482821	1.05913945571135	1.36798969299466	1.3314746721226	0
CC2G_011892	5.4380257613796	5.07979577856326	5.30792618164586	5.0571708669002	5.08058665318766	5.50126380742271	5.19070956030452	5.18462403838634	5.44735720278785
CC2G_011893	5.68724964751021	4.81045153281397	4.8301522779277	4.98980826120044	4.9288181474889	5.42195453359072	5.46382312825757	4.52555882494633	4.67734196049548
CC2G_011894	4.56283404740265	5.84667176231303	7.45688044830411	7.01569760031739	7.27329717348356	6.55641018510771	6.1327849712443	7.74686198134742	8.50356051651958
CC2G_011895	6.75781137812574	6.50677814551983	6.18142395045358	5.80184671468743	5.83207596882933	5.14152968203785	5.75820933981038	5.48124314149646	6.21641131867275
CC2G_011904	0	1.6015980187563	0	1.07583704408356	1.48204054290935	0	1.64696298193284	0	2.20895280812433
CC2G_011896	0	0	1.93351378713948	3.3511507949555	2.94926171531875	3.61707984527708	2.85661496419037	3.02914387650803	2.34333134454424
CC2G_011897	1.79857037374192	4.39653112553526	3.96681602092643	3.48841970187427	3.23836554973525	2.68599128935954	3.22302331019047	2.63602198713611	3.21620491218752
CC2G_011898	5.58213560801497	5.1778628653392	5.34914823144189	4.32885924565326	4.59069107493054	3.91034550933739	4.20396204556997	4.87952578948208	7.41282499658603
CC2G_011899	5.35064219601673	4.69268967344024	4.62086462825043	3.52479402684587	3.66836648682604	3.21864528447548	3.58318278359715	4.05269978004157	5.17981552376567
CC2G_011900	7.16918990729292	6.03762288122298	5.12092736520263	4.74133913582792	4.91842334963172	4.99942207105574	5.87026277826817	5.99718072415294	5.5693389299096
CC2G_011901	8.39626420749633	8.51566966286358	8.54628845496895	8.48397911727166	8.38522348385169	8.79768640174034	8.41788311551658	5.28977846224111	6.10471504824428
CC2G_011902	8.08520615859598	6.53030714181297	5.76624433409821	6.02444289119694	6.12846715882681	6.66486532952916	7.28327605915999	5.50937953202088	3.61943525314879
CC2G_011903	5.05552342925245	4.01121714493548	2.50982855415745	2.06109409218833	2.1881529922151	2.3498097561073	2.7527601677956	6.94750836246337	5.84043447508961
CC2G_011905	8.56758106918161	7.29696007839105	7.64615716645992	6.05139247146375	6.26931827688593	6.01939196057411	5.05952602173067	6.35811345194925	4.62297583985788
CC2G_011906	5.78300809782294	5.98277753932795	6.63486064023847	5.64745982092971	5.90528419770869	5.38881725839894	5.2756143671312	5.88125569957596	6.08501874227749
CC2G_011907	7.05793622312461	11.3187942196665	10.8262290712856	9.28703835944854	9.50700671137027	11.1041153094416	10.3148633245428	8.80508863293989	8.83933975980177
CC2G_011908	7.34668098651825	7.18089988161729	5.69722405058668	7.67731636574696	7.69848613085238	7.61220209112465	7.59922520842822	6.75381666349806	5.16606040637779
CC2G_011909	8.92475386232958	7.09903045012332	7.47788823429452	7.39215961434635	7.26096759566563	7.45375762740146	7.30632590553988	7.08562531351849	6.93671024460068
CC2G_011910	3.81721963850175	4.84045324200456	5.06414657156132	5.20241933491946	5.37241535184011	4.63217940200289	5.10916403310813	5.90430935404697	6.0877263282803
CC2G_011911	3.06128733756541	3.7143342788728	4.18015209334307	4.04714430312619	4.29427169730062	3.38587581654036	3.99178618738225	4.46570040327462	5.79037713248449
CC2G_011912	4.68947229558697	6.22187287134464	6.95413798901486	6.61123905166033	6.85440634530487	6.74538465740552	6.83554683484905	6.63452595410818	6.33087104595227
CC2G_011913	1.92417190683182	6.07137309509864	6.20559443807448	8.43669294573595	8.11284160022135	6.74822105488115	7.98878213245292	2.45969606225666	2.78402996126208
CC2G_011914	8.41204528015203	6.77121157256368	6.32446113903384	5.73092117420698	5.86468637794037	7.53046627494659	6.82805432030291	6.0444000586156	7.33769799407791
CC2G_011915	2.11726514223201	0	0	1.47838667547214	1.65856555428927	1.29031055465342	2.59960839915597	0	0
CC2G_011916	7.13755845402979	7.0616295743592	7.28630518516418	6.93219283674107	7.60206129382991	8.87147901303319	8.82291166240314	6.47906367856378	7.4507494360216
CC2G_011918	4.54219449962011	5.9239881985718	4.94771971096314	5.12487738033935	4.8017850244219	4.43702989171321	4.45728625402348	5.38313807897919	7.78007020066558
CC2G_011919	2.35716677389813	3.67778662745619	6.04149797528003	7.0323472602979	8.46906838803212	8.04476823048625	9.17067716644351	5.66740246423162	6.36064946396077
CC2G_011921	8.9457228415871	7.13715619913591	7.55341618055398	7.22659451283133	7.23122143000529	7.28324595180933	7.12577784840135	5.75153938650053	7.59312893926133
