Genes	T0	T1	T2	T3	T4	T5	T6	T12	T16	T24
RO3G_14439	2.56567013391739	4.16039649603313	3.65997442239197	4.55601379595183	4.52434062393288	4.966965053597	4.99770633078266	4.76859122709156	4.94612931692841	4.67789210810537
RO3G_14440	5.64089681618119	6.72356621372169	5.83609723810347	6.02247634227092	5.50928728585784	5.71016679927096	5.36455860187257	4.55629211739725	5.19093856590612	5.17174153747776
RO3G_14437	5.6747985826314	3.52701363822171	4.65650057026067	4.97196013258575	5.31660039638292	5.27629298739141	5.30932330209404	5.40089457703365	5.12065058565963	5.65425938870828
RO3G_14438	6.11114128869693	6.09452546328264	5.47393995679543	5.69009195536988	5.59680005303187	5.91604542651557	5.93672262030296	5.44749835885529	6.12597307807026	6.08874018325774
RO3G_14425	2.36598039122182	0	0	0	0	0	0	1.61791505424494	1.37921875314354	2.08194343075141
RO3G_14426	6.94301417678925	2.02935419204847	1.85361724684617	1.47790051033135	1.30615061117464	1.45159626025617	1.84815485707325	3.58404378711328	3.29716532098651	4.63684457344737
RO3G_14427	5.24462141401546	3.73489461657653	3.81186598343175	3.63303770967295	3.42584084240012	3.23288619323563	3.09093205304356	3.03037684154465	2.93532863374956	2.85590345753583
RO3G_14428	2.29491075121417	0	0	0	0	0	0	0	0	0
RO3G_14429	4.45581457663081	2.2755342721322	2.0247603151495	1.10398801640987	1.96438036801005	2.00859099755847	2.3852769821419	3.31607493710792	3.39817579124619	3.50339935140036
RO3G_14430	5.88748570445311	5.82578658481358	5.59094163393968	5.07794953246452	5.28528695373475	5.51376414312155	5.86524979341058	6.534207837491	6.64574831354899	6.21140157155392
RO3G_14445	4.5715648790669	2.18245285263618	2.70745830201426	3.00597883654374	3.2415565718607	3.42416364481282	3.78965899844235	4.09826084445385	4.19537904240723	4.22994992917326
RO3G_14448	0	0	0	0	1.27059425531677	0	0	1.05483914459444	0	0
RO3G_14446	5.3266374077216	4.25769273604467	3.69260345571039	3.09730881446751	3.09565426165792	3.27783438813966	2.88522763036036	2.72185996214837	2.98414179437951	3.22880257338758
RO3G_14449	5.18289862033764	4.52562826634324	4.50329614552864	4.26200852533844	4.46768850558134	4.4797806901428	4.39505865315562	4.01983351335274	3.88699082519683	3.93155092474119
RO3G_14450	2.48462805672207	5.10092858014553	5.51559817810245	5.17806881756306	5.13871024990182	4.96548804321213	4.86474941391083	3.73555875311381	3.66117740707589	2.78904037066138
RO3G_14451	5.14521898267604	5.09769681519197	5.23233249493049	4.94431357981492	4.88705028520407	5.01800510531361	4.76883645394351	5.11769977337436	5.20017773785218	5.28725731185425
RO3G_14442	8.3381590780311	6.44003807146189	4.93084990934378	4.54076530413845	3.78986475677466	4.23283056684114	4.75876908109979	5.31896564733489	4.80161876983295	3.7914042833396
RO3G_14443	5.08525593846036	2.99019329293865	2.62559290067803	2.78272274212841	2.59967954401624	2.56739721966022	2.43697871590226	3.16518935560896	3.89482781962143	3.83576153848611
RO3G_14444	6.11171200457464	2.64867758336265	3.53699022787017	4.40130812493446	5.04224388303456	5.6595262776072	5.84272447790266	5.85252448636277	5.92969277878195	5.54785215354867
RO3G_14460	0	1.50722192583104	2.79396280938971	3.80739531916294	3.82582880272301	3.72844274541606	3.41404285455588	2.77184869077752	3.67404780175294	2.84332158677045
RO3G_14459	4.64404453521517	2.46132396251684	3.73195181040407	4.39879550490985	4.59057883601667	4.69271253577006	4.87687136763962	4.86584552637112	5.17438569974883	5.13855513619111
RO3G_14461	1.38534417001235	2.59890976540803	2.17113287200621	1.67787320871483	2.00330157570199	1.43962368079998	1.24455693525515	1.51456573195725	1.21021165710435	1.01375091541645
RO3G_14452	1.24079844071414	2.86308554906749	4.16791501284658	3.76208685220988	3.79477742204044	3.37859564253055	2.88051795295198	4.02090431631329	3.21058493129598	3.99590350275549
RO3G_14453	3.67465794288645	2.32788012264895	3.29713470889552	3.64871939656915	3.43413330566681	3.58261814673048	3.60811802372507	3.16174950510319	3.70930710394092	3.9709497829206
RO3G_14454	1.87132810442521	1.08944871006101	1.27503875041788	1.54075443299906	1.56347469543869	1.74857119766086	1.94793061753616	1.74699136892191	1.73138419619153	2.48356360224242
RO3G_14455	3.45123690039057	1.3205039500884	2.1244118252287	1.59177058348129	2.10536922773536	2.24481156524953	1.6344712268636	1.67334382005377	1.45454524217454	1.61835337729398
RO3G_14456	6.68543711330785	7.11741831113464	5.77175594670786	5.45613446923617	5.39585385833932	5.40943063732205	5.31930268339174	5.54884547755622	5.47896355616578	5.65124316552877
RO3G_14457	3.86095973290947	2.99351172777973	3.95692826496217	4.09743756372781	4.13989312734135	3.86296571765018	3.90500968479097	3.76768405401948	3.90163638308899	3.94969482039359
RO3G_14458	3.60615966123331	2.60654820685538	3.48715326136602	3.87585149142237	3.91977328785252	3.79950690939695	3.73132184462009	3.43763913579529	3.81757828309448	3.81918134114689
RO3G_14462	8.87107384270776	9.59630311423017	8.71593732254363	7.98054164963881	7.54337252210371	7.17410775620748	7.10881290884188	8.24796504243779	7.77576833245374	8.16999047592971
RO3G_14472	0	0	0	0	0	0	0	0	0	0
RO3G_14467	0	0	0	0	0	0	0	0	0	0
RO3G_14466	0	1.53500715096368	0	0	0	0	0	0	0	0
RO3G_14464	3.77412703163142	2.53020983294452	2.50949271830834	2.59247215928334	2.51708703929593	2.52964312728495	2.90569328984248	3.20560990604259	2.82311398540231	3.41085791560701
RO3G_14465	1.10932236506952	1.03271528409045	0	0	0	0	0	0	0	1.12167689372469
RO3G_14473	3.68408733734626	5.40137489304816	5.75023969227947	5.16630466446844	5.44513324023636	5.44757930492722	5.50704656165121	4.72644644839525	4.64435863453385	4.17083111155211
RO3G_14474	3.57285005258732	1.02478588049214	1.24965074870071	1.44533924728647	2.65089612375378	2.42710443883213	3.00485360427775	3.08447900233042	3.25690119275749	3.10895693000699
RO3G_14463	5.93484674534213	6.72505729673771	7.28623966230629	7.10920294962734	7.09575069649703	7.05649111763306	6.84627191477591	6.41295285537987	6.00960133141738	5.32427327416621
RO3G_14475	0	0	0	0	0	0	0	0	1.56486033065588	1.4863541009557
RO3G_14476	6.8408399899527	3.15585489686001	6.29075588538825	6.36265839883212	6.38453272704276	6.25996080718831	6.246477664921	6.07975883719904	5.86519952565231	5.47475137967321
RO3G_14478	8.58903542400154	3.94007427992863	2.98083383428357	2.81929003832915	2.38093868382701	2.82722605311186	3.44039626154561	4.24948711664202	4.54626574900749	4.57833185663003
RO3G_14479	8.15612489839307	3.05003404892023	2.39491970553129	2.59680719245814	3.07461271445217	3.76216378141294	4.15406212378444	5.62298245448352	5.39429595015253	5.91548534972419
RO3G_14480	3.11338551001057	0	0	0	2.21777305440264	1.85155785890196	2.3438213852741	2.37331115678098	2.01831779022851	1.6383865019532
RO3G_14481	4.05217078393233	7.26627526359657	7.97925633095561	7.55746584834343	7.68266013341768	7.33912181316783	7.41124514010707	6.7699241949805	5.7959836907019	4.85083612938731
RO3G_14482	5.79000579760042	4.76555373195788	4.59946980789963	4.25631775023376	4.22389930928783	3.98388026558457	4.13317336929355	4.37349963356587	4.01066869013919	3.96151729096658
RO3G_14483	5.7866155999879	7.64002156254653	7.05897139333286	6.78751497746737	6.65563317288822	6.30634452414018	6.30047813997627	5.66349755995154	6.09484509780721	6.15019591833413
RO3G_14492	0	0	0	0	0	0	0	0	0	0
RO3G_14491	0	0	0	0	0	0	0	0	0	0
RO3G_14497	1.65308795620293	6.75805832186126	4.93857482706068	4.05133719295189	3.38008579513064	2.32212410187185	1.97199937460209	3.00477491177193	2.86675434731382	4.37766133238147
RO3G_14494	1.55153964001944	2.70860952212591	1.48124762023891	1.77898100629723	1.46529510968668	1.35524183140399	1.27902940175661	0	0	1.50627043564397
RO3G_14495	1.85661594232727	2.4416320586688	2.61185269927174	2.82423215330133	2.73636283652691	2.49915163103888	2.73006988807927	1.12443572830503	2.06160334495975	1.24373444323834
RO3G_14490	5.1990316805798	4.14047211525749	6.20034092472903	6.57228078206693	6.7918132468472	6.80465732566812	6.72333583554105	6.97241218356216	6.6564935270788	6.63807452810868
RO3G_14484	4.47232522820372	3.11681524374666	3.54302554239622	3.25961178144755	3.17088104885536	3.14444222361694	3.19272294854227	3.8916375173886	3.65855589033184	3.82219593784983
RO3G_14485	2.12164211981799	1.03271528409045	1.4042457140456	1.50613451906843	1.31526455632274	1.27967297217847	1.4721738672514	2.09202312908131	1.42125095739927	1.97819531696353
RO3G_14486	3.87939850656315	3.21362639439326	3.34018484983273	3.26531903884841	3.58777693366461	3.45075949222985	3.26531712282301	3.97005243052505	3.49684026029672	2.74428967660946
RO3G_14487	6.702251742327	3.2159216594474	4.19962330426648	4.32438806839112	4.48661248999606	4.57767792926578	4.54658729332949	5.50547522731366	5.27343486119941	5.35999206101375
RO3G_14488	5.25989160093866	5.22432852327063	4.49795532994179	4.51744136382482	4.30548703064102	4.4852807184393	4.23085295771931	4.55179998511295	4.67607253455716	4.32334234955894
RO3G_14501	0	0	0	0	0	0	0	0	0	0
RO3G_14503	0	1.0268148339681	0	0	0	0	0	1.03247623030096	1.0331397030844	2.73569140905283
RO3G_14502	6.44428530955694	6.77828632028	6.35929587643719	6.6668095354463	6.30224921827855	6.36843000184412	6.32313520166874	5.54183491770429	6.51193213944831	6.41092183828725
RO3G_14504	5.33389942411442	8.81517286578698	8.59157116701217	7.80881292406707	7.95563232894209	7.56197997392016	7.24903429294494	5.99316913323154	5.00812743438686	3.92726196721004
